explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;sistema_productivo;capacidad_productiva;criterio_sostenibilidad;capacidad_menos_4meses;capacidad_4_y_12meses;capacidad_machos;capacidad_hembras;capacidad
ES220117200003;Pasto;Ovino;Reproducción para producción de carne;Albero Alto;HUESCA;HUESCA;30;719990;4658587;;;;;;;1800;1800
ES220130000601;Producción y reproducción;Caprino;Reproducción para producción de carne;Alberuela de Tubo;HUESCA;GRAÑÉN;30;727060;4641580;;;Convencional;;;;10;10
ES220130000601;Producción y reproducción;Ovino;Reproducción para producción de carne;Alberuela de Tubo;HUESCA;GRAÑÉN;30;727050;4641575;;;Convencional;;;;697;697
ES220130000603;Producción y reproducción;Ovino;Reproducción para producción de carne;Alberuela de Tubo;HUESCA;GRAÑÉN;30;731004;4643392;;;Convencional;;;;1750;1750
ES220130000603;Producción y reproducción;Caprino;Reproducción para producción de carne;Alberuela de Tubo;HUESCA;GRAÑÉN;30;731004;4643392;;;Convencional;;;;10;10
ES220130000606;Producción y reproducción;Caprino;Reproducción para producción de carne;Alberuela de Tubo;HUESCA;GRAÑÉN;30;727482;4640316;;;Convencional;;;;10;10
ES220130000606;Producción y reproducción;Ovino;Reproducción para producción de carne;Alberuela de Tubo;HUESCA;GRAÑÉN;30;727482;4640330;;;Convencional;;;;578;578
ES220137200001;Pasto;Caprino;;Alberuela de Tubo;HUESCA;GRAÑÉN;30;729465;4641237;;;Convencional;;;;10;10
ES220137200001;Pasto;Ovino;;Alberuela de Tubo;HUESCA;GRAÑÉN;30;729465;4641237;;;Convencional;;;;600;600
ES220137200004;Pasto;Caprino;Reproducción para producción de carne;Alberuela de Tubo;HUESCA;GRAÑÉN;30;731130;4644083;;;;;;;10;10
ES220137200004;Pasto;Ovino;Reproducción para producción de carne;Alberuela de Tubo;HUESCA;GRAÑÉN;30;731130;4644083;;;;;;;1600;1600
ES220150000606;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcalá del Obispo;HUESCA;HUESCA;30;724239;4661785;;;Convencional;;;;74;74
ES220150000606;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcalá del Obispo;HUESCA;HUESCA;30;724250;4661805;;;Convencional;;;;10;10
ES220150000617;Producción y reproducción;Caprino;Reproducción para producción de carne;Alcalá del Obispo;HUESCA;HUESCA;30;725990;4663020;;;;;;;10;10
ES220150000617;Producción y reproducción;Ovino;Reproducción para producción de carne;Alcalá del Obispo;HUESCA;HUESCA;30;725978;4663014;;;;;;;300;300
ES220157200002;Pasto;Ovino;Reproducción para producción de carne;Alcalá del Obispo;HUESCA;HUESCA;30;726749;4663064;;;;;;;1200;1200
ES220157200002;Pasto;Caprino;Reproducción para producción de carne;Alcalá del Obispo;HUESCA;HUESCA;30;726749;4663064;;;;;;;10;10
